s1_edad,s1_genero,s1_experiencia_clinica,s1_educacion,s1_titulo_terciario,s1_titulo,s1_no_titulo_universitario,s1_horas_semana_pacientes_atendidos,s1_contexto_trabajo,s1_orientacion_teo,s1_marco_teo_terapia_basada_arte,s1_marco_teo_psa,s1_marco_teo_tcc,s1_marco_teo_humanista,s1_marco_teo_eclectico,s2_evidencia_cientifica,s2_experiencia_personal,s2_entrenamiento_clinica,s2_tratamiento_preferencia_consultantes,s2_intuicion,s2_terapia_personal,s3_tratamiento_personal_consultantes,s3_investigacion_empirica_ensayos_controlados,s3_supervision,s3_estudios_de_caso,s3_discusion_pares,s3_libros,s3_observaciones_casos_clinicos,s3_medidas_resultado,s3_guias_manuales_clinicos,s4_apertura_terapias_desarrolladas_por_investigadores,s4_actualizacion_info_cientifica,s4_formacion_enfasis_investigacion,s4_supervisores_terapia_evidencia_requerimiento,s4_tratamientos_cientificos_eficientes,s4_atraer_consultantes_con_tbe,s4_hallazgos_cientificos_practica_diaria,s4_nueva_terapia_intento,s4_interes_aprender_tbe,s4_tratamientos_utilizados_base_empirica,s4_complejidad_consultantes_ensayos_clinicos,s4_consultantes_prefieren_otros_tratamientos,s4_terapia_manualizada,s4_diagnosticos_utilizados_son_simples,s4_tratamientos_preferencia_no_probados_ensayo_controlado,s4_enfoque_tratamiento_individual,s4_no_tiempo_aprender_tbe,s4_capacitacion_tbe_demasiado_dinero,s4_no_saber_tbe,s4_entrenamiento_clinico_no_info_tbe,s4_alianza_terapeutica_mas_importante,s4_terapias_igualmente_efectivas,s4_empleador_no_fondos_capacitacion_tbe,s4_exp_clinica_mas_importante_que_evidencia_cientifica,provincia_residencia,consentimiento_informado
43.0,Femenino,17.0,Máster,,Lic. en Psicología,,20.0,"Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,"Terapia de Conducta, Terapia de Aceptación y Compromiso, Terapia Dialéctico Conductual, Terapia basada en Mindfulness",,,7.0,7.0,7.0,,5.0,7.0,7.0,5.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,Córdoba,7.0
27.0,Femenino,2.9,Posgrado,,Lic. en Psicología,,20.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta",,,7.0,1.0,4.0,2.0,1.0,3.0,5.0,7.0,4.0,7.0,7.0,7.0,5.0,5.0,6.0,0.0,7.0,7.0,5.0,7.0,7.0,7.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,7.0,1.0,1.0,1.0,7.0,4.0,1.0,0.0,1.0,Provincia de Buenos Aires,7.0
28.0,Masculino,1.4,Licenciatura de Grado,Licenciatura en Psicología ,Lic. en Psicología,,12.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,7.0,4.0,,,,3.0,0.0,7.0,3.0,4.0,7.0,4.0,0.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,4.0,6.0,6.0,6.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0,0.0,4.0,1.0,1.0,0.0,4.0,Santa Fe,7.0
39.0,Masculino,10.0,Máster,,Lic. en Psicología,,45.0,"Ámbito Público (hospital u otro), Ámbito Privado",Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia Dialéctico Conductual, Constructivista",,,3.0,7.0,7.0,3.0,7.0,1.0,7.0,5.0,4.0,5.0,5.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,5.0,Ciudad Autónoma de Buenos Aires (CABA),3.0
27.0,Femenino,1.8,Licenciatura de Grado,,Lic. en Psicología,,14.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta",,,7.0,6.0,,1.0,,1.0,6.0,4.0,6.0,4.0,4.0,7.0,2.0,5.0,7.0,5.0,6.0,0.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,1.0,5.0,5.0,7.0,6.0,6.0,7.0,2.0,3.0,4.0,3.0,7.0,3.0,Provincia de Buenos Aires,7.0
33.0,Masculino,5.1,Máster,,Lic. en Psicología,,30.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,6.0,5.0,6.0,5.0,,6.0,7.0,5.0,6.0,6.0,7.0,3.0,0.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,3.0,5.0,6.0,2.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,5.0,Mendoza,7.0
31.0,Masculino,2.2,Licenciatura de Grado,,Lic. en Psicología,,4.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Racional Emotiva, Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,4.0,6.0,4.0,3.0,1.0,7.0,7.0,5.0,5.0,6.0,7.0,2.0,5.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,6.0,3.0,2.0,0.0,2.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
29.0,Femenino,1.6,Carrera de Especialización,,Lic. en Psicología,,12.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia de Conducta, Terapia de Aceptación y Compromiso",,,6.0,1.0,2.0,1.0,1.0,3.0,4.0,5.0,5.0,4.0,6.0,7.0,4.0,3.0,6.0,7.0,6.0,7.0,7.0,7.0,4.0,7.0,0.0,7.0,6.0,6.0,2.0,3.0,5.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
31.0,Femenino,6.0,Licenciatura de Grado,,Lic. en Psicología,,20.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso, Terapia Dialéctico Conductual",,,7.0,7.0,7.0,4.0,,6.0,7.0,4.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,4.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,Catamarca,7.0
42.0,Masculino,17.0,Carrera de Especialización,Especialista en Neuropsicologia clínica ,Lic. en Psicología,,35.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia de Aceptación y Compromiso,,,7.0,7.0,7.0,7.0,4.0,7.0,3.0,6.0,7.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,Córdoba,7.0
32.0,Femenino,4.4,Carrera de Especialización,,Lic. en Psicología,,30.0,"Ámbito Privado, Obra Social o Prepaga",Pscicocorporal,,,,,,4.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,7.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,Córdoba,7.0
30.0,Masculino,0.5,Licenciatura de Grado,,Lic. en Psicología,,17.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia de Conducta,,,7.0,,,,3.0,,2.0,5.0,4.0,5.0,2.0,6.0,2.0,1.0,5.0,6.0,7.0,2.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,1.0,4.0,6.0,1.0,7.0,1.0,6.0,1.0,7.0,0.0,1.0,1.0,1.0,Provincia de Buenos Aires,1.0
31.0,Masculino,3.0,Psicólogo + Cursos y formacion continua por cuenta propia,Psicólogo ,Psicólogo ,,27.0,"Ámbito Privado, Obra Social o Prepaga",Ecléctico (más de una de estas opciones),,,,,"Terapias Cognitivas/Comportamentales, Psicodinámica",5.0,5.0,1.0,4.0,6.0,5.0,7.0,4.0,5.0,4.0,5.0,7.0,2.0,1.0,4.0,7.0,7.0,1.0,1.0,6.0,7.0,7.0,5.0,7.0,5.0,7.0,4.0,4.0,4.0,1.0,7.0,6.0,6.0,4.0,7.0,4.0,1.0,7.0,4.0,Santa Fe,2.0
28.0,Femenino,3.6,Carrera de Especialización,,Lic. en Psicología,,30.0,"Ámbito Público (hospital u otro), Ámbito Privado",Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,7.0,5.0,4.0,1.0,5.0,3.0,5.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,4.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,Provincia de Buenos Aires,6.0
42.0,Femenino,4.0,Carrera de Especialización,,Lic. en Psicología,,20.0,Ámbito Privado,Ecléctico (más de una de estas opciones),,,,,"Humanista, Terapias Cognitivas/Comportamentales",6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,6.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,5.0,7.0,7.0,7.0,4.0,6.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0,Mendoza,7.0
36.0,Masculino,13.0,Doctorado,,Lic. en Psicología,,13.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Racional Emotiva, Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,6.0,5.0,5.0,5.0,2.0,4.0,7.0,1.0,1.0,4.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,4.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,0.0,3.0,5.0,1.0,4.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,Ciudad Autónoma de Buenos Aires (CABA),6.0
34.0,Femenino,9.0,Carrera de Especialización,,Psicóloga ,,55.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia basada en Mindfulness, Terapia Interpersonal",,,6.0,7.0,3.0,3.0,2.0,5.0,5.0,3.0,6.0,4.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,4.0,6.0,5.0,3.0,4.0,2.0,4.0,5.0,0.0,4.0,3.0,3.0,0.0,2.0,2.0,6.0,7.0,6.0,7.0,4.0,7.0,4.0,Santa Fe,6.0
46.0,Femenino,20.0,Carrera de Especialización,,Lic. en Psicología,,12.0,Ámbito Privado,Psicoanálisis,,Freudiano,,,,4.0,5.0,5.0,,1.0,7.0,6.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,6.0,5.0,6.0,7.0,0.0,0.0,2.0,2.0,7.0,6.0,0.0,6.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
34.0,Masculino,3.0,Residencia completa,Residencia completa de Salud Mental Comunitaria / Residencia completa de Epidemiología ,Lic. en Psicología,,10.0,Ámbito Público (hospital u otro),Terapias Cognitivas/Comportamentales,,,"Terapia de Conducta, Terapia de Aceptación y Compromiso",,,6.0,5.0,3.0,1.0,2.0,6.0,3.0,1.0,7.0,1.0,4.0,6.0,3.0,1.0,7.0,6.0,7.0,1.0,6.0,7.0,7.0,7.0,3.0,7.0,6.0,6.0,4.0,2.0,2.0,1.0,7.0,1.0,6.0,1.0,1.0,2.0,1.0,7.0,1.0,Chubut,6.0
39.0,Masculino,7.0,Carrera de Especialización,,Lic. en Psicología,,18.0,"Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,Terapia Cognitiva,,,5.0,7.0,7.0,4.0,1.0,5.0,5.0,5.0,7.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,7.0,6.0,6.0,7.0,4.0,7.0,5.0,7.0,7.0,7.0,2.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
25.0,Femenino,0.9,Licenciatura de Grado,,Lic. en Psicología,,8.0,"Ámbito Público (hospital u otro), Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia basada en Mindfulness",,,7.0,6.0,4.0,2.0,3.0,7.0,4.0,7.0,5.0,6.0,4.0,7.0,6.0,7.0,7.0,4.0,7.0,1.0,7.0,7.0,4.0,7.0,4.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,3.0,5.0,4.0,6.0,6.0,1.0,3.0,6.0,Provincia de Buenos Aires,5.0
36.0,Femenino,5.0,Carrera de Especialización,,Lic. en Psicología,,5.0,Ámbito Privado,Sistémica,,,,,,7.0,7.0,7.0,4.0,4.0,5.0,5.0,7.0,5.0,0.0,7.0,7.0,7.0,4.0,5.0,7.0,0.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,7.0,1.0,1.0,4.0,1.0,7.0,1.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
29.0,Femenino,4.0,Carrera de Especialización,Lic en Psicologia ,Lic. en Psicología,,7.0,"Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,Terapia de Aceptación y Compromiso,,,7.0,,7.0,,7.0,7.0,5.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,1.0,5.0,0.0,1.0,4.0,3.0,7.0,6.0,1.0,1.0,1.0,1.0,5.0,Entre Ríos,3.0
34.0,Femenino,8.0,Carrera de Especialización,,Lic. en Psicología,,30.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Cognitiva,,,7.0,5.0,7.0,7.0,,,4.0,4.0,7.0,4.0,7.0,7.0,7.0,2.0,4.0,7.0,6.0,4.0,4.0,4.0,4.0,6.0,4.0,7.0,7.0,7.0,4.0,6.0,4.0,0.0,6.0,1.0,6.0,1.0,4.0,2.0,1.0,0.0,1.0,Provincia de Buenos Aires,7.0
61.0,Femenino,30.0,Máster,PSIOANALISIS,Lic. en Psicología,,15.0,Ámbito Privado,Psicoanálisis,,Lacaniano,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,4.0,7.0,6.0,6.0,2.0,1.0,1.0,4.0,7.0,7.0,7.0,4.0,5.0,5.0,7.0,4.0,7.0,5.0,4.0,7.0,7.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,Provincia de Buenos Aires,7.0
27.0,Femenino,1.8,Licenciatura de Grado,,Lic. en Psicología,,12.0,"Ámbito Público (hospital u otro), Ámbito Privado",Terapias Cognitivas/Comportamentales,,,Terapia de Conducta,,,6.0,1.0,5.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,4.0,1.0,7.0,1.0,7.0,1.0,4.0,3.0,1.0,0.0,1.0,Provincia de Buenos Aires,7.0
28.0,Femenino,0.3,Licenciatura de Grado,,Lic. en Psicología,,3.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Cognitiva,,,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,6.0,4.0,0.0,7.0,4.0,Provincia de Buenos Aires,7.0
34.0,Femenino,3.0,Licenciatura de Grado,,Lic. en Psicología,,40.0,"Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia Dialéctico Conductual",,,7.0,2.0,2.0,,,4.0,3.0,0.0,5.0,3.0,3.0,5.0,3.0,3.0,7.0,4.0,6.0,6.0,6.0,7.0,4.0,4.0,3.0,0.0,6.0,5.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,6.0,3.0,1.0,0.0,2.0,Provincia de Buenos Aires,6.0
25.0,Masculino,0.9,Licenciatura de Grado,,Lic. en Psicología,,24.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta, Terapia Analítico Funcional",,,7.0,7.0,7.0,5.0,6.0,4.0,6.0,7.0,4.0,4.0,4.0,7.0,1.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,3.0,6.0,6.0,3.0,7.0,1.0,7.0,1.0,6.0,4.0,1.0,7.0,5.0,Córdoba,5.0
48.0,Femenino,20.0,Carrera de Especialización,,Lic. en Psicología,,20.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Cognitiva,,,7.0,1.0,1.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,4.0,7.0,4.0,5.0,7.0,4.0,4.0,1.0,4.0,4.0,7.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,4.0,Provincia de Buenos Aires,7.0
26.0,Femenino,1.6,Licenciatura de Grado,,Lic. en Psicología,,20.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,7.0,7.0,1.0,1.0,1.0,5.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,Provincia de Buenos Aires,2.0
28.0,Femenino,2.0,Carrera de Especialización,,Lic. en Psicología,,25.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,7.0,7.0,1.0,1.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,4.0,5.0,6.0,7.0,7.0,3.0,7.0,7.0,6.0,6.0,4.0,7.0,7.0,7.0,4.0,6.0,5.0,4.0,7.0,2.0,6.0,1.0,4.0,4.0,1.0,0.0,2.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
27.0,Masculino,1.6,Licenciatura de Grado,,Lic. en Psicología,,6.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Aceptación y Compromiso, Terapia basada en Mindfulness",,,5.0,6.0,3.0,3.0,4.0,1.0,2.0,2.0,6.0,2.0,6.0,6.0,4.0,2.0,2.0,7.0,6.0,2.0,6.0,7.0,6.0,6.0,5.0,7.0,7.0,5.0,4.0,3.0,3.0,0.0,5.0,1.0,7.0,1.0,5.0,2.0,2.0,5.0,1.0,Provincia de Buenos Aires,5.0
33.0,Femenino,1.9,Licenciatura de Grado,,Lic. en Psicología,,25.0,Ámbito Privado,Ecléctico (más de una de estas opciones),,,,,"Terapias Cognitivas/Comportamentales, Psicoanálisis",5.0,5.0,5.0,3.0,3.0,7.0,4.0,1.0,7.0,2.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,7.0,1.0,5.0,1.0,5.0,6.0,4.0,0.0,5.0,Provincia de Buenos Aires,7.0
28.0,Femenino,1.0,Licenciatura de Grado,,Lic. en Psicología,,30.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Cognitiva,,,6.0,7.0,5.0,3.0,1.0,1.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,1.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,4.0,1.0,2.0,1.0,1.0,7.0,3.0,6.0,1.0,1.0,3.0,2.0,7.0,3.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
40.0,Femenino,16.0,Carrera de Especialización,,Lic. en Psicología,,35.0,"Ámbito Público (hospital u otro), Ámbito Privado, Obra Social o Prepaga",Psicodinámica,,,,,,4.0,6.0,7.0,3.0,7.0,7.0,7.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0,4.0,1.0,7.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,0.0,1.0,0.0,7.0,7.0,7.0,7.0,Ciudad Autónoma de Buenos Aires (CABA),2.0
40.0,Femenino,0.0,Carrera de Especialización,,Lic. en Psicología,,0.0,Ámbito Privado,Ecléctico (más de una de estas opciones),,,,,Psicoanálisis,5.0,3.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,7.0,6.0,4.0,5.0,7.0,7.0,7.0,4.0,7.0,0.0,0.0,7.0,7.0,4.0,0.0,6.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,7.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
48.0,Prefiero no decirlo,10.4,Carrera de Especialización,,Lic. en Terapia Ocupacional,,30.0,Ámbito Privado,Ecléctico (más de una de estas opciones),,,,,"Humanista, Terapias Cognitivas/Comportamentales, Terapias Basadas en Arte, Sistémica",4.0,7.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,1.0,6.0,4.0,7.0,7.0,1.0,5.0,4.0,Provincia de Buenos Aires,7.0
39.0,Masculino,15.8,Carrera de Especialización,,Lic. en Psicología,,40.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,5.0,5.0,3.0,3.0,,,4.0,0.0,2.0,5.0,5.0,6.0,0.0,0.0,6.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,2.0,7.0,6.0,6.0,0.0,4.0,4.0,0.0,2.0,4.0,6.0,1.0,3.0,4.0,3.0,0.0,4.0,Provincia de Buenos Aires,6.0
28.0,Masculino,3.0,Carrera de Especialización,,Lic. en Psicología,,15.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia de Aceptación y Compromiso,,,7.0,7.0,7.0,4.0,,1.0,5.0,7.0,7.0,4.0,5.0,6.0,1.0,4.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0,Provincia de Buenos Aires,7.0
38.0,Género no Binario,4.3,Licenciatura de Grado,,Lic. en Psicología,,24.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso, Terapia Dialéctico Conductual, Terapia Interpersonal",,,7.0,6.0,6.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,3.0,5.0,1.0,6.0,1.0,7.0,1.0,7.0,4.0,1.0,7.0,2.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
28.0,Femenino,0.6,Licenciatura de Grado,,Lic. en Psicología,,14.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta",,,7.0,,4.0,,,,5.0,0.0,4.0,6.0,5.0,7.0,0.0,6.0,7.0,4.0,7.0,6.0,0.0,7.0,7.0,6.0,0.0,7.0,6.0,6.0,3.0,0.0,4.0,2.0,7.0,2.0,6.0,2.0,7.0,4.0,1.0,0.0,3.0,Provincia de Buenos Aires,6.0
29.0,Femenino,4.0,Carrera de Especialización,,Lic. en Psicología,,7.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso, Terapia Dialéctico Conductual, Terapia basada en Mindfulness",,,7.0,6.0,4.0,3.0,3.0,3.0,7.0,6.0,7.0,4.0,6.0,5.0,2.0,4.0,4.0,6.0,7.0,3.0,7.0,7.0,4.0,7.0,4.0,7.0,7.0,6.0,2.0,2.0,5.0,1.0,4.0,6.0,6.0,1.0,4.0,3.0,1.0,0.0,1.0,Ciudad Autónoma de Buenos Aires (CABA),7.0
27.0,Femenino,5.0,Carrera de Especialización,Licenciada en psicología posgrado en trastornos de ansiedad ,Lic. en Psicología,,10.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta",,,7.0,7.0,6.0,6.0,2.0,7.0,5.0,4.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,2.0,5.0,6.0,6.0,2.0,2.0,4.0,2.0,1.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,Ciudad Autónoma de Buenos Aires (CABA),6.0
24.0,Masculino,0.6,Licenciatura de Grado,,Lic. en Psicología,,20.0,Obra Social o Prepaga,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta",,,7.0,4.0,5.0,2.0,4.0,,7.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,7.0,0.0,4.0,7.0,7.0,4.0,5.0,7.0,7.0,7.0,4.0,0.0,7.0,4.0,1.0,6.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,Provincia de Buenos Aires,7.0
46.0,Masculino,20.0,Máster,Lic en psicología ,Lic. en Psicología,,20.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Racional Emotiva,,,7.0,5.0,5.0,4.0,3.0,7.0,5.0,6.0,3.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,0.0,4.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,4.0,4.0,4.0,1.0,7.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,4.0,Ciudad Autónoma de Buenos Aires (CABA),1.0
25.0,Masculino,0.3,Licenciatura de Grado,,Lic. en Psicología,,2.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Cognitiva,,,7.0,,,,1.0,6.0,5.0,4.0,1.0,4.0,5.0,6.0,4.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,6.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,Córdoba,7.0
