"Marca temporal","¿Desea participar de la investigación?","Edad","Género","Provincia de Residencia","Años de Experiencia en la Clínica ","Nivel de Educación MÁXIMO Adquirido","En caso de haber respondido Terciario u otro, ¿cuál fue su título?","¿Usted ha tenido formación universitaria pública o privada?","¿Cuál es tu título?","En caso de haber respondido ""no tengo título universitario"", ¿cuál fue su título máximo adquirido?","Número de Horas por Semana Atendiendo Pacientes (Aproximado)","Contexto de Trabajo","Orientación Teórica","Indique qué disciplina realiza:","Indique qué marco teórico del psicoanálisis sigue usted:","Indique qué marco teórico utiliza usted en la clínica:","Indique qué marco teórico utiliza en la práctica:","Indique qué tipo marco teórico utiliza en la práctica:","Evidencia Científica","Experiencia Personal con Consultantes (es decir la propia experiencia ejerciendo)","Entrenamiento Práctico en Clínica","El tratamiento de Preferencia de los Consultantes ","Intuición","Terapia Personal","Experiencia Personal con Consultantes","Investigación Empírica con Ensayos Controlados ","Supervisión","Investigación Empírica de Estudios de Caso ","Discusión con Pares","Libros","Observaciones de Casos Clínicos (por ejemplo en ateneos, prácticas, etc)","Medidas de resultado (resultados de escalas, cuestionarios, etc)","Guías o manuales clínicos","Estoy dispuesto a utilizar nuevos y diferentes tipos de terapia desarrollados por investigadores","Es mi deber profesional estar al día con los nuevos desarrollos en la investigación clínica (entendiendo a la investigación como un proceso que sigue el método científico)","Mi formación clínica hizo énfasis en la investigación (entendiendo a la investigación como un proceso que sigue el método científico)","Mis supervisores requieren/han requerido que use tratamientos basados ​​en la evidencia (es decir, con apoyo del método científico)","Los tratamientos basados ​​en el método científico son eficientes/costo-efectivos ","Puedo atraer nuevos consultantes aprendiendo un tratamiento basado en evidencia (como resultado del método científico)","Es importante incorporar los hallazgos científicos en mi práctica diaria","Intentaría una nueva terapia incluso si fuera muy diferente de lo que estoy acostumbrado a hacer (es decir muy diferente a lo que ejerzo)","Estoy interesado en aprender tratamientos basados ​​en evidencia (como resultado del método científico)","Los tratamientos que uso con mis consultantes tienen una base empírica (es decir cuentan con apoyo del método científico)","Mis consultantes son más complejos y diversos que los de los ensayos clínicos (provenientes de la investigación científica, ejemplo ensayos aleatorizados y controlados)","Mis consultantes prefieren otros tratamientos que los tratamientos basados ​​en evidencia (como resultado del método científico)","La terapia no puede ser manualizada","Los diagnósticos utilizados en los ensayos clínicos son demasiado simples (ejemplo ensayos aleatorizados y controlados)","Los tratamientos que prefiero no se han probado en un ensayo controlado aleatorio","Tengo un enfoque de tratamiento individual para cada consultante","No tengo tiempo para aprender tratamientos basados ​​en evidencia (como resultado del método científico)","La capacitación en tratamientos basados ​​en evidencia me costaría demasiado dinero (evidencia como resultado del método científico)","No sé cuáles tratamientos están basados ​​en evidencia (como resultado del método científico)","Mi entrenamiento clínico no proporcionó información suficiente sobre tratamientos basados ​​en evidencia (como resultado del método científico)","La alianza terapéutica es más importante que aprender cómo hacer una forma específica de psicoterapia","La mayoría de las terapias son igualmente efectivas","Mi empleador no tiene los fondos para pagarme una capacitación en tratamientos basados ​​en evidencia (como resultado del método científico)","La experiencia clínica es más importante como guía para el tratamiento que la evidencia científica","Considero fundamental el uso del consentimiento informado y lo uso siempre al tomar pacientes nuevos

0 = No sabe/No contesta, 1 = Muy en desacuerdo , 4 = Ni de acuerdo ni en desacuerdo , 7 = Muy de acuerdo","¿Le gustaría agregar otro comentario?","","","","","","","","","","","","",""
"2023/02/25 1:18:26 p. m. GMT-3","Sí","30","Masculino","Provincia de Buenos Aires","1.6","Carrera de Especialización","","Pública","Lic. en Psicología","","38","Ámbito Público (hospital u otro);Ámbito Privado","Sistémica","","","","","","7","6","5","3","5","7","6","0","0","0","0","7","5","4","5","7","8","5","7","7","7","7","4","7","7","7","6","6","6","7","6","5","7","7","7","7","5","7","5","7","","","","","","","","","Si tuviste otro tipo de formación y tuviste que migrar hacía la basada en evidencia ","No","No","Sí","La escala likert es rara y hay una pregunta que le falta una escala (ponen hasta el 8 en el enunciado y solo ponen hasta el 7). ",""
"2023/02/25 1:49:00 p. m. GMT-3","Sí","31","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1","Carrera de Especialización","","Pública","Lic. en Psicología","","30","Ámbito Público (hospital u otro);Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","6","6","5","3","7","5","4","6","4","7","6","5","5","7","5","7","5","7","7","6","7","5","7","7","6","3","2","4","2","4","4","6","1","6","4","1","8","4","7","","","","","","","","","","","","","",""
"2023/02/25 2:00:27 p. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","2","Carrera de Especialización","","Privada","Lic. en Psicología","","6","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","7","7","5","1","7","7","4","5","4","7","7","7","7","7","6","7","5","8","5","6","7","5","6","7","7","5","5","5","4","5","1","7","4","7","6","1","1","5","7","","","","","","","","","","","","","",""
"2023/02/25 2:03:09 p. m. GMT-3","Sí","31","Femenino","Neuquén","5","Carrera de Especialización","","Privada","Lic. en Psicología","","25","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Aceptación y Compromiso","","","7","7","7","2","6","7","3","7","5","4","7","7","5","5","7","7","7","0","7","7","6","7","4","7","7","5","3","4","7","1","7","1","7","1","1","3","1","4","1","7","","","","","","","","","","","","","",""
"2023/02/25 2:05:48 p. m. GMT-3","Sí","26","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","2","Carrera de Especialización","","Pública","Lic. en Psicología","","8","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Racional Emotiva;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia basada en Mindfulness","","","7","6","7","6","5","1","7","4","2","4","5","4","2","7","5","7","8","7","4","6","7","7","4","7","6","5","4","5","4","4","6","2","7","1","4","6","5","0","7","7","","","","","","","","","","","","","",""
"2023/02/25 2:13:28 p. m. GMT-3","Sí","32","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","2","Doctorado","","Privada","Lic. en Psicología","","14","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Analítico Funcional","","","7","2","4","1","1","3","4","4","7","4","7","7","5","4","7","7","7","7","1","7","2","7","5","7","7","7","1","7","4","1","7","1","7","1","1","4","1","0","3","7","Investigo sobre costo-eficacia de tratamientos basados en evidencia","","","","","","","","","","","","",""
"2023/02/25 2:19:00 p. m. GMT-3","Sí","32","Femenino","Santa Fe","1.6","Carrera de Especialización","","Privada","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","4","5","2","2","5","5","6","7","5","6","6","3","5","5","6","7","7","7","7","6","7","6","7","7","6","5","2","4","1","5","1","4","1","5","2","2","0","2","4","","","","","","","","","","","","","",""
"2023/02/25 2:22:22 p. m. GMT-3","Sí","27","Femenino","Río Negro","2","Licenciatura de Grado","","Pública","Lic. en Psicología","","20","Ámbito Público (hospital u otro)","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","6","3","0","5","7","5","6","1","6","6","7","6","7","7","6","7","7","7","6","0","6","5","7","7","7","0","4","4","4","7","7","7","1","6","4","1","7","4","7","","","","","","","","","","","","","",""
"2023/02/25 2:24:59 p. m. GMT-3","Sí","28","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1.4","Licenciatura de Grado","","Pública","Lic. en Psicología","","40","Ámbito Público (hospital u otro)","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia Analítico Funcional","","","4","5","4","0","0","0","4","3","7","3","7","7","7","0","7","7","7","5","7","6","0","7","7","7","7","7","0","4","5","1","7","1","0","1","1","4","3","0","5","7","","","","","","","","","","","","","",""
"2023/02/25 2:25:13 p. m. GMT-3","Sí","21","Femenino","Provincia de Buenos Aires","0.1","Licenciatura de Grado","","Privada","Lic. en Psicología","","21","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","6","3","1","7","7","7","7","7","7","7","7","1","3","7","7","7","7","7","7","7","7","4","7","7","3","1","3","1","1","4","1","7","1","5","5","1","5","5","6","","","","","","","","","","","","","",""
"2023/02/25 2:39:38 p. m. GMT-3","Sí","33","Femenino","Santiago del Estero","8","Licenciatura de Grado","","Privada","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia cognitivo conductual ","","","7","6","6","5","1","7","5","5","6","6","7","7","4","7","7","7","7","7","5","6","6","7","4","6","7","4","4","4","4","4","6","2","4","6","2","4","6","0","4","5","","","","","","","","","","","","","",""
"2023/02/25 2:47:16 p. m. GMT-3","Sí","43","Femenino","Córdoba","17","Máster","","Pública","Lic. en Psicología","","20","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia basada en Mindfulness","","","7","7","7","0","5","7","7","5","4","4","7","7","7","7","7","7","8","7","8","8","8","8","7","8","8","8","5","1","0","7","1","1","4","1","4","4","1","4","4","7","","","","","","","","","","","","","",""
"2023/02/25 2:53:44 p. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","2.9","Posgrado","","Pública","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","7","1","4","2","1","3","5","7","4","7","7","7","5","5","6","0","7","7","5","7","7","7","4","7","7","4","4","4","4","4","7","1","1","1","7","4","1","0","1","7","","","","","","","","","","","","","",""
"2023/02/25 3:01:08 p. m. GMT-3","Sí","28","Masculino","Santa Fe","1.4","Licenciatura de Grado","Licenciatura en Psicología ","Privada","Lic. en Psicología","","12","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","7","4","0","0","0","3","0","7","3","4","7","4","0","6","5","6","6","7","7","7","7","4","6","6","6","0","1","4","0","0","1","6","0","4","1","1","0","4","7","","","","","","","","","","","","","",""
"2023/02/25 3:03:33 p. m. GMT-3","Sí","39","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","10","Máster","","Privada","Lic. en Psicología","","45","Ámbito Público (hospital u otro);Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia Dialéctico Conductual;Constructivista","","","3","7","7","3","7","1","7","5","4","5","5","7","4","4","4","7","7","7","1","5","5","5","7","7","7","7","7","7","7","1","7","1","1","1","1","7","1","1","5","3","","","","","","","","","","","","","",""
"2023/02/25 3:14:46 p. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","1.8","Licenciatura de Grado","","Pública","Lic. en Psicología","","14","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta","","","7","6","0","1","0","1","6","4","6","4","4","7","2","5","7","5","6","0","7","7","7","7","7","6","7","7","1","5","5","7","6","6","7","2","3","4","3","7","3","7","","","","","","","","","","","","","",""
"2023/02/25 3:29:59 p. m. GMT-3","Sí","33","Masculino","Mendoza","5.1","Máster","","Privada","Lic. en Psicología","","30","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","6","5","6","5","0","6","7","5","6","6","7","3","0","7","5","7","6","6","7","7","7","6","7","7","4","3","5","6","2","6","1","5","1","1","1","1","0","5","7","","","","","","","","","","","","","",""
"2023/02/25 3:36:25 p. m. GMT-3","Sí","31","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","2.2","Licenciatura de Grado","","Pública","Lic. en Psicología","","4","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Racional Emotiva;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","4","6","4","3","1","7","7","5","5","6","7","2","5","7","5","7","7","5","7","7","7","6","7","7","4","3","2","4","1","2","1","4","1","6","3","2","0","2","7","","","","","","","","","","","","","",""
"2023/02/25 3:38:27 p. m. GMT-3","Sí","29","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1.6","Carrera de Especialización","","Pública","Lic. en Psicología","","12","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia de Aceptación y Compromiso","","","6","1","2","1","1","3","4","5","5","4","6","7","4","3","6","7","6","7","7","7","4","7","0","7","6","6","2","3","5","0","2","2","1","1","2","3","1","0","1","7","","","","","","","","","","","","","",""
"2023/02/25 3:54:11 p. m. GMT-3","Sí","31","Femenino","Catamarca","6","Licenciatura de Grado","","Pública","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","7","7","4","0","6","7","4","7","4","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","2","1","4","1","7","1","4","1","1","1","1","7","1","7","","","","","","","","","","","","","",""
"2023/02/25 3:57:30 p. m. GMT-3","Sí","42","Masculino","Córdoba","17","Carrera de Especialización","Especialista en Neuropsicologia clínica ","Pública","Lic. en Psicología","","35","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Aceptación y Compromiso","","","7","7","7","7","4","7","3","6","7","7","5","5","4","4","7","7","8","8","8","8","8","8","5","8","8","5","2","3","2","0","2","1","1","1","4","1","1","0","1","7","","","","","","","","","","","","","",""
"2023/02/25 4:26:26 p. m. GMT-3","Sí","32","Femenino","Córdoba","4.4","Carrera de Especialización","","Pública","Lic. en Psicología","","30","Ámbito Privado;Obra Social o Prepaga","Pscicocorporal","","","","","","4","7","7","1","1","7","7","1","7","4","7","7","7","4","4","4","8","8","8","8","8","8","4","8","8","8","0","4","0","4","4","8","8","8","8","4","1","8","0","7","","","","","","","","","","","","","",""
"2023/02/25 4:52:58 p. m. GMT-3","Sí","30","Masculino","Provincia de Buenos Aires","0.5","Licenciatura de Grado","","Pública","Lic. en Psicología","","17","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta","","","7","0","0","0","3","0","2","5","4","5","2","6","2","1","5","6","7","2","7","7","7","7","2","7","7","7","1","4","6","1","7","1","6","1","7","0","1","1","1","1","NT <3","","","","","","","","","","","","",""
"2023/02/25 4:56:04 p. m. GMT-3","Sí","31","Masculino","Santa Fe","3 ","Psicólogo + Cursos y formacion continua por cuenta propia","Psicólogo ","Pública","Psicólogo ","","27","Ámbito Privado;Obra Social o Prepaga","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Psicodinámica","5","5","1","4","6","5","7","4","5","4","5","7","2","1","4","7","7","1","1","6","7","7","5","7","5","7","4","4","4","1","7","6","6","4","7","4","1","7","4","2","La formación universitaria está muy lejos de la ciencia, entonces empezar a conocer tratamientos basado en evidencia lleva mucho tiempo, esfuerzo y dinero.
Personalmente intento dirigirme cada vez más hacia prácticas con evidencia científica respaldatoria, pero no es fácil hacerlo al mismo tiempo que uno trabaja. En mi caso comienzo investigando desde distintas fuentes de acuerdo a las problemáticas con las que me encuentro en el consultorio, sobre todo cuando veo que me encuentro con faltas de herramientas para ayudar a determinados pacientes.","","","","","","","","","","","","",""
"2023/02/25 5:43:18 p. m. GMT-3","Sí","28","Femenino","Provincia de Buenos Aires","3.6","Carrera de Especialización","","Privada","Lic. en Psicología","","30","Ámbito Público (hospital u otro);Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","7","5","4","1","5","3","5","7","5","5","6","6","6","6","7","7","6","7","7","5","7","7","7","7","4","7","0","1","1","1","1","1","1","1","4","1","7","1","6","","","","","","","","","","","","","",""
"2023/02/25 6:02:12 p. m. GMT-3","Sí","42","Femenino","Mendoza","4","Carrera de Especialización","","Privada","Lic. en Psicología","","20","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Humanista;Terapias Cognitivas/Comportamentales","6","6","6","4","4","6","6","6","6","6","6","6","2","5","6","7","7","7","4","4","4","7","5","7","7","7","4","6","5","1","5","1","1","1","1","4","1","0","2","7","","","","","","","","","","","","","",""
"2023/02/25 6:03:06 p. m. GMT-3","Sí","36","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","13","Doctorado","","Pública","Lic. en Psicología","","13","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Racional Emotiva;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","6","5","5","5","2","4","7","1","1","4","6","5","5","5","5","7","7","4","7","7","7","6","7","7","5","0","3","5","1","4","1","0","1","3","3","1","0","2","6","","","","","","","","","","","","","",""
"2023/02/25 6:04:44 p. m. GMT-3","Sí","34","Femenino","Santa Fe","9","Carrera de Especialización","","Pública","Psicóloga ","","55","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia basada en Mindfulness;Terapia Interpersonal","","","6","7","3","3","2","5","5","3","6","4","5","7","6","7","6","6","6","4","6","5","3","4","2","4","5","0","4","3","3","0","2","2","6","7","6","7","4","7","4","6","","","","","","","","","","","","","",""
"2023/02/25 6:49:00 p. m. GMT-3","Sí","46","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","20","Carrera de Especialización","","Pública","Lic. en Psicología","","12","Ámbito Privado","Psicoanálisis","","Freudiano","","","","4","5","5","0","1","7","6","1","7","1","7","7","7","1","1","4","8","8","8","8","8","8","6","4","8","8","1","6","5","6","7","8","8","2","2","7","6","8","6","7","","","","","","","","","","","","","",""
"2023/02/25 7:31:49 p. m. GMT-3","Sí","34","Masculino","Chubut","3","Residencia completa","Residencia completa de Salud Mental Comunitaria / Residencia completa de Epidemiología ","Pública","Lic. en Psicología","","10","Ámbito Público (hospital u otro)","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia de Aceptación y Compromiso","","","6","5","3","1","2","6","3","1","7","1","4","6","3","1","7","6","7","1","6","7","7","7","3","7","6","6","4","2","2","1","7","1","6","1","1","2","1","7","1","6","","","","","","","","","","","","","",""
"2023/02/25 8:59:27 p. m. GMT-3","Sí","39","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","7","Carrera de Especialización","","Privada","Lic. en Psicología","","18","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","5","7","7","4","1","5","5","5","7","6","7","6","6","4","5","5","7","6","6","7","4","7","5","7","7","7","2","1","3","1","7","1","1","1","1","1","1","7","1","7","No","","","","","","","","","","","","",""
"2023/02/25 10:15:37 p. m. GMT-3","Sí","25","Femenino","Provincia de Buenos Aires","0.9","Licenciatura de Grado","","Privada","Lic. en Psicología","","8 ","Ámbito Público (hospital u otro);Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia basada en Mindfulness","","","7","6","4","2","3","7","4","7","5","6","4","7","6","7","7","4","7","1","7","7","4","7","4","7","7","7","7","5","6","6","5","3","5","4","6","6","1","3","6","5","","","","","","","","","","","","","",""
"2023/02/25 10:27:38 p. m. GMT-3","Sí","36","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","5","Carrera de Especialización","","Pública","Lic. en Psicología","","5","Ámbito Privado","Sistémica","","","","","","7","7","7","4","4","5","5","7","5","0","7","7","7","4","5","7","8","6","7","7","5","7","7","7","7","5","1","1","4","5","3","5","7","1","1","4","1","7","1","7","","","","","","","","","","","","","",""
"2023/02/26 1:42:38 a. m. GMT-3","Sí","29","Femenino","Entre Ríos","4","Carrera de Especialización","Lic en Psicologia ","Pública","Lic. en Psicología","","7 ","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia de Aceptación y Compromiso","","","7","0","7","0","7","7","5","0","7","0","5","5","0","0","5","5","7","7","7","7","7","7","4","7","7","7","1","5","0","1","4","3","7","6","1","1","1","1","5","3","","","","","","","","","","","","","",""
"2023/02/26 8:25:27 a. m. GMT-3","Sí","34","Femenino","Provincia de Buenos Aires","8","Carrera de Especialización","","Pública","Lic. en Psicología","","30","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","5","7","7","0","0","4","4","7","4","7","7","7","2","4","7","6","4","4","4","4","6","4","7","7","7","4","6","4","0","6","1","6","1","4","2","1","0","1","7","","","","","","","","","","","","","",""
"2023/02/26 10:27:17 a. m. GMT-3","Sí","61","Femenino","Provincia de Buenos Aires","30","Máster","PSIOANALISIS","Pública","Lic. en Psicología","","15","Ámbito Privado","Psicoanálisis","","Lacaniano","","","","6","6","6","6","6","6","6","1","4","7","6","6","2","1","1","4","7","7","7","4","5","5","7","4","7","5","4","7","7","1","7","1","1","4","1","1","1","4","4","7","","","","","","","","","","","","","",""
"2023/02/26 2:28:59 p. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","1.8","Licenciatura de Grado","","Pública","Lic. en Psicología","","12","Ámbito Público (hospital u otro);Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta","","","6","1","5","1","1","1","7","7","7","7","7","7","7","7","4","7","7","7","7","7","7","7","7","7","7","7","4","3","4","1","7","1","7","1","4","3","1","0","1","7","","","","","","","","","","","","","",""
"2023/02/26 5:52:11 p. m. GMT-3","Sí","28","Femenino","Provincia de Buenos Aires","0.3","Licenciatura de Grado","","Pública","Lic. en Psicología","","3","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","2","5","5","5","5","5","5","5","5","5","5","5","0","0","4","5","8","0","0","8","8","8","7","8","8","8","0","0","0","0","0","2","7","0","6","4","0","7","4","7","","","","","","","","","","","","","",""
"2023/02/27 12:09:53 a. m. GMT-3","Sí","34","Femenino","Provincia de Buenos Aires","3","Licenciatura de Grado","","Pública","Lic. en Psicología","","40","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia Dialéctico Conductual","","","7","2","2","0","0","4","3","0","5","3","3","5","3","3","7","4","6","6","6","7","4","4","3","8","6","5","1","2","4","3","3","2","3","1","6","3","1","8","2","6","","","","","","","","","","","","","",""
"2023/02/27 12:45:56 a. m. GMT-3","Sí","25","Masculino","Córdoba","0.9","Licenciatura de Grado","","Pública","Lic. en Psicología","","24","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia Analítico Funcional","","","7","7","7","5","6","4","6","7","4","4","4","7","1","6","7","6","7","7","7","7","6","7","6","7","7","6","3","6","6","3","7","1","7","1","6","4","1","7","5","5","","","","","","","","","","","","","",""
"2023/02/27 4:52:04 a. m. GMT-3","Sí","48","Femenino","Provincia de Buenos Aires","20","Carrera de Especialización","","Pública","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","1","1","0","0","7","7","7","7","7","7","7","7","7","7","1","7","7","7","7","4","7","4","5","7","4","4","1","4","4","7","1","1","1","0","7","1","1","4","7","No","","","","","","","","","","","","",""
"2023/02/27 12:26:04 p. m. GMT-3","Sí","26","Femenino","Provincia de Buenos Aires","1.6","Licenciatura de Grado","","Privada","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","7","7","1","1","1","5","7","1","7","7","7","7","7","7","7","7","7","0","7","7","7","7","7","7","4","1","4","5","1","1","1","7","1","1","1","1","0","1","2","","","","","","","","","","","","","",""
"2023/02/27 1:30:12 p. m. GMT-3","Sí","28","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","2","Carrera de Especialización","","Pública","Lic. en Psicología","","25","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","7","7","1","1","7","7","6","6","6","6","7","4","5","6","7","7","3","7","7","6","6","4","7","7","7","4","6","5","4","7","2","6","1","4","4","1","0","2","7","","","","","","","","","","","","","",""
"2023/02/27 1:32:01 p. m. GMT-3","Sí","27","Masculino","Provincia de Buenos Aires","1.6","Licenciatura de Grado","","Pública","Lic. en Psicología","","6","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Aceptación y Compromiso;Terapia basada en Mindfulness","","","5","6","3","3","4","1","2","2","6","2","6","6","4","2","2","7","6","2","6","7","6","6","5","7","7","5","4","3","3","0","5","1","7","1","5","2","2","5","1","5","","","","","","","","","","","","","",""
"2023/02/27 1:50:09 p. m. GMT-3","Sí","33","Femenino","Provincia de Buenos Aires","1.9","Licenciatura de Grado","","Privada","Lic. en Psicología","","25","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Psicoanálisis","5","5","5","3","3","7","4","1","7","2","7","7","5","7","7","7","7","7","1","7","7","7","7","7","3","7","5","5","3","4","7","1","5","1","5","6","4","0","5","7","","","","","","","","","","","","","",""
"2023/02/27 9:23:37 p. m. GMT-3","Sí","28","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1","Licenciatura de Grado","","Pública","Lic. en Psicología","","30","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","6","7","5","3","1","1","7","7","7","5","6","6","7","7","7","6","7","1","7","6","7","7","5","7","7","4","1","2","1","1","7","3","6","1","1","3","2","7","3","7","","","","","","","","","","","","","",""
"2023/02/27 10:14:48 p. m. GMT-3","Sí","40","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","16","Carrera de Especialización","","Pública","Lic. en Psicología","","35","Ámbito Público (hospital u otro);Ámbito Privado;Obra Social o Prepaga","Psicodinámica","","","","","","4","6","7","3","7","7","7","0","7","0","7","7","7","0","4","1","7","7","8","1","1","8","1","8","7","7","7","7","7","7","4","1","8","1","8","7","7","7","7","2","Las terapias psicodinamicas y el psicoanálisis contemporáneo son absolutamente basadas en la evidencia, y apuntan a la profundidad del trabajo con el inconsciente (que va mucho más allá de lo reprimido teorizado por Freud y Lacan)","","","","","","","","","","","","",""
"2023/02/27 11:28:18 p. m. GMT-3","Sí","40","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","0","Carrera de Especialización","","Pública","Lic. en Psicología","","0","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Psicoanálisis","5","3","2","5","4","5","5","2","4","4","4","5","4","3","4","7","6","4","5","7","7","7","4","7","8","0","7","7","4","0","6","1","1","8","4","4","4","8","7","7","No","","","","","","","","","","","","",""
"2023/02/28 1:47:00 p. m. GMT-3","Sí","48","Prefiero no decirlo","Provincia de Buenos Aires","10.4","Carrera de Especialización","","Pública","Lic. en Terapia Ocupacional","","30","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Humanista;Terapias Cognitivas/Comportamentales;Terapias Basadas en Arte;Sistémica","4","7","5","4","4","5","4","4","5","5","6","6","6","6","6","6","7","7","6","6","6","6","7","7","6","7","4","4","4","4","6","1","6","4","7","7","1","5","4","7","","","","","","","","","","","","","",""
